term,GRS,Campus,College,Department,Program,program_no,Residency,Student_Type,Race,URM,Level,service_region,state,county,class,learner_age,cohort,retained
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"American Indian or Alaskan Native, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,13,3
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Franklin,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Hardin,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Harrison,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Hopkins,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Freshman,14 <= Age <= 20,6,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jessamine,Freshman,14 <= Age <= 20,3,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Knott,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Meade,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Montgomery,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Black, Non-Hispanic Only",URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,25 <= Age <= 79,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Boone,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Bourbon,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Clark,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Floyd,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Freshman,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jessamine,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Kenton,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Montgomery,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Shelby,Freshman,14 <= Age <= 20,2,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Woodford,Sophomore,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Service Region,Kentucky,Harlan,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Service Region,Kentucky,Laurel,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Service Region,Kentucky,Pulaski,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Race and Ethnicity Unknown,Non - URM,Undergraduate,KY:Service Region,Kentucky,Laurel,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Franklin,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Hopkins,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Marion,Freshman,14 <= Age <= 20,3,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Mercer,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Montgomery,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Non-Service Region,Kentucky,Shelby,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Service Region,Kentucky,Pulaski,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,Two or More Races,URM,Undergraduate,KY:Service Region,Kentucky,Whitley,Freshman,14 <= Age <= 20,2,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Allen,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Bath,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Boone,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Bourbon,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Boyd,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Bullitt,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Campbell,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Clark,Freshman,14 <= Age <= 20,2,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Daviess,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,7,4
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Floyd,Freshman,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Franklin,Freshman,14 <= Age <= 20,3,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Graves,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Greenup,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Hardin,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Hardin,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Harrison,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Hart,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Henry,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Freshman,14 <= Age <= 20,5,3
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jessamine,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Kenton,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Kenton,Freshman,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Letcher,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Livingston,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Mason,Freshman,14 <= Age <= 20,2,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Mercer,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Nelson,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Nicholas,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Ohio,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Oldham,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Pendleton,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Shelby,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Spencer,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Union,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Wolfe,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Woodford,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Boyle,Freshman,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Clay,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Estill,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Garrard,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Harlan,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Knox,Freshman,14 <= Age <= 20,3,2
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Laurel,Freshman,14 <= Age <= 20,5,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Leslie,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Lincoln,Freshman,14 <= Age <= 20,3,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,14 <= Age <= 20,7,3
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Freshman,25 <= Age <= 79,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,McCreary,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,GRS (Full-time Other Seeking),On-Campus Program,Academic Affairs,Office of Academic Affairs,Associate of General Studies,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Perry,Freshman,14 <= Age <= 20,2,0
